Machine_ID,Readings,Health_Index,Health_Index_P05,Avg_Temperature,Avg_Vibration,Avg_Power,Avg_Production_Speed,Speed_Std,Defect_Rate,Defect_Density,Error_Frequency,Maintenance_Score,Avg_Latency,Avg_Packet_Loss,Breach_Rate,Good_Units,High_Pct,Medium_Pct,Low_Pct,Speed_CV
40,2001,87.196,58.75,60.85,2.551,5.757,271.124,129.159,5.011,13.583,7.616,0.505,25.575,2.428,93.103,257.54,3.198,18.241,78.561,47.638
5,2043,87.227,59.09,60.489,2.536,5.783,272.621,133.165,4.946,13.512,7.463,0.492,25.741,2.493,92.707,259.109,3.671,18.551,77.778,48.846
11,1950,87.262,57.322,60.279,2.543,5.766,275.226,130.731,5.086,14.092,7.453,0.491,25.489,2.486,93.179,261.134,3.128,19.436,77.436,47.499
31,1933,87.288,56.677,60.061,2.526,5.845,282.414,129.956,5.079,14.251,7.624,0.487,25.799,2.464,92.654,268.164,3.673,18.52,77.807,46.016
34,1947,87.307,57.455,59.583,2.613,5.725,278.915,131.609,5.064,14.132,7.589,0.501,25.849,2.466,92.604,264.784,3.082,19.414,77.504,47.186
22,2030,87.339,59.053,59.827,2.571,5.751,278.116,129.248,5.097,13.929,7.661,0.502,25.827,2.476,93.054,264.187,3.596,18.719,77.685,46.473
14,1941,87.375,57.48,60.298,2.573,5.744,271.728,130.031,5.111,13.9,7.603,0.497,25.77,2.479,92.736,257.828,2.318,18.702,78.98,47.853
46,1910,87.405,56.241,60.016,2.568,5.72,270.022,132.6,5.001,13.492,7.384,0.501,25.167,2.511,92.723,256.53,3.194,18.377,78.429,49.107
1,1915,87.423,57.976,59.503,2.581,5.82,278.012,128.072,5.044,14.093,7.606,0.498,25.372,2.522,92.428,263.919,2.872,20.261,76.867,46.067
21,2051,87.432,56.984,60.028,2.545,5.84,274.753,130.801,4.96,13.417,7.469,0.5,25.41,2.477,93.077,261.336,2.779,19.161,78.059,47.607
7,1963,87.451,57.413,60.187,2.543,5.681,274.249,130.93,5.042,13.869,7.368,0.5,25.148,2.559,92.41,260.38,3.158,19.358,77.483,47.741
44,2053,87.462,56.656,60.334,2.554,5.832,277.78,130.325,4.975,13.836,7.491,0.493,25.265,2.515,92.791,263.944,3.02,19.386,77.594,46.917
24,1984,87.467,58.645,59.559,2.565,5.721,278.594,130.404,4.987,13.899,7.378,0.504,25.258,2.499,93.548,264.695,3.679,20.111,76.21,46.808
19,2004,87.487,58.605,59.764,2.556,5.75,276.809,127.864,4.974,13.734,7.495,0.487,25.503,2.563,92.814,263.075,3.094,20.509,76.397,46.192
25,1998,87.535,60.087,59.692,2.554,5.743,273.001,129.151,5.018,13.651,7.711,0.504,25.41,2.519,92.643,259.35,2.853,18.969,78.178,47.308
37,1964,87.569,59.17,59.927,2.559,5.683,277.23,130.436,4.886,13.428,7.433,0.499,25.405,2.488,91.904,263.802,2.8,19.908,77.291,47.05
30,2074,87.57,57.172,59.543,2.53,5.786,275.719,129.681,4.954,13.545,7.546,0.503,25.485,2.451,91.61,262.174,2.363,18.37,79.267,47.034
2,2041,87.584,59.381,59.814,2.535,5.725,274.509,129.226,5.014,13.789,7.522,0.486,25.451,2.519,92.455,260.721,2.842,18.961,78.197,47.075
10,2022,87.586,58.988,60.424,2.546,5.801,275.755,129.307,4.91,13.367,7.396,0.505,25.969,2.437,91.642,262.389,3.116,18.744,78.14,46.892
23,2092,87.597,58.832,60.113,2.556,5.692,281.005,129.033,5.01,14.107,7.356,0.502,25.401,2.559,92.208,266.899,3.298,20.507,76.195,45.918
4,2003,87.6,57.981,59.801,2.568,5.717,273.463,129.934,5.033,13.681,7.472,0.502,25.308,2.483,92.062,259.782,2.546,19.221,78.233,47.514
47,2001,87.609,58.278,60.33,2.544,5.707,275.203,131.144,5.093,14.065,7.64,0.5,25.407,2.538,92.854,261.137,2.399,17.541,80.06,47.654
15,2025,87.626,58.264,59.69,2.547,5.788,281.469,128.494,5.166,14.592,7.451,0.497,26.177,2.469,92.346,266.877,3.506,20.346,76.148,45.651
49,1950,87.629,59.773,59.835,2.565,5.769,272.523,131.295,5.024,13.651,7.434,0.504,26.324,2.547,93.385,258.872,2.872,18.718,78.41,48.178
41,2013,87.632,59.906,59.748,2.553,5.74,277.004,130.13,4.938,13.503,7.445,0.488,25.439,2.479,91.605,263.501,2.881,20.02,77.099,46.978
27,1956,87.726,59.43,59.891,2.537,5.689,284.929,130.716,4.893,13.909,7.583,0.51,25.532,2.54,93.047,271.021,3.016,20.041,76.943,45.877
6,1934,87.752,59.291,60.238,2.545,5.663,273.147,130.388,4.979,13.696,7.527,0.505,26.491,2.499,92.916,259.452,2.999,19.804,77.198,47.735
48,2057,87.753,56.959,60.354,2.5,5.791,274.447,131.401,4.909,13.51,7.43,0.494,25.691,2.503,93.534,260.937,3.257,19.154,77.589,47.878
43,1905,87.757,61.516,59.266,2.537,5.783,279.334,130.857,4.991,14.051,7.527,0.506,25.675,2.464,91.549,265.282,3.412,18.32,78.268,46.846
36,2084,87.78,59.743,60.035,2.55,5.768,273.349,128.03,5.064,13.868,7.421,0.509,25.22,2.528,92.322,259.481,3.359,18.954,77.687,46.838
50,1912,87.805,59.329,60.063,2.573,5.727,275.33,129.652,4.958,13.641,7.4,0.508,25.339,2.507,92.939,261.688,2.824,19.508,77.667,47.09
45,2080,87.84,59.079,60.047,2.573,5.703,276.397,130.224,4.84,13.294,7.411,0.507,25.835,2.473,92.212,263.103,3.51,19.519,76.971,47.115
32,2031,87.841,60.082,59.313,2.528,5.732,277.52,131.362,4.989,13.858,7.594,0.501,25.504,2.484,92.516,263.662,2.413,18.858,78.73,47.334
39,1990,87.843,59.354,60.231,2.495,5.699,280.067,129.353,5.073,14.396,7.562,0.494,25.569,2.496,92.513,265.67,2.663,20.955,76.382,46.186
13,2040,87.898,58.582,59.898,2.54,5.652,273.432,129.998,5.0,13.747,7.464,0.509,25.374,2.449,92.843,259.685,3.333,19.314,77.353,47.543
29,2044,87.916,59.2,60.57,2.505,5.662,273.272,127.562,4.899,13.449,7.648,0.504,25.286,2.481,92.27,259.823,2.691,19.129,78.18,46.679
12,1953,87.971,60.051,59.868,2.499,5.71,273.805,133.162,5.014,13.836,7.478,0.5,25.706,2.498,92.115,259.969,2.611,19.816,77.573,48.634
28,2047,88.055,58.263,59.786,2.516,5.657,274.11,128.049,4.953,13.533,7.528,0.493,25.751,2.446,92.623,260.577,2.687,18.564,78.749,46.714
18,2030,88.136,60.351,59.89,2.541,5.678,275.629,130.233,5.056,14.069,7.456,0.5,25.658,2.471,92.266,261.559,3.005,18.128,78.867,47.25
35,1913,88.149,60.04,59.952,2.518,5.691,273.691,131.59,4.983,13.681,7.446,0.499,25.463,2.46,91.898,260.01,3.032,18.557,78.411,48.08
